Face Shape,Skin Color,Body Shape,Outfits,Accessories,Suitable Colors,
Heart,Fair,Rectangle,"Henley shirts, slim-fit chinos, denim jackets, crew neck sweaters, desert boots","Leather belts, aviator sunglasses, minimalist watches","Light blue, beige, navy",
Heart,Fair,Oval,"Casual button-downs, slim-fit jeans, lightweight blazers, knit pullovers, loafers","Leather bracelets, wayfarer sunglasses, dress watches","Olive green, maroon, cream",
Heart,Fair,Triangle,"Tailored blazers with shoulder padding, V-neck shirts, tapered pants, quilted jackets, lace-up boots","Bold ties, statement watches, leather wallets","Dark brown, mustard, teal",
Heart,Fair,Inverted Triangle,"Fitted polos, skinny jeans, bomber jackets, turtlenecks, high-top sneakers","Minimalist watches, baseball caps, leather backpacks","Black, grey, burgundy",
Heart,Fair,Trapezoid,"Slim-fit dress shirts, straight-leg chinos, light knitwear, sports jackets, Chelsea boots","Pocket squares, cufflinks, slim wallets","Navy blue, forest green, charcoal",
Heart,Wheatish,Rectangle,"Henley shirts, slim-fit chinos, denim jackets, crew neck sweaters, desert boots","Leather belts, aviator sunglasses, minimalist watches","Light blue, beige, navy",
Heart,Wheatish,Oval,"Casual button-downs, slim-fit jeans, lightweight blazers, knit pullovers, loafers","Leather bracelets, wayfarer sunglasses, dress watches","Olive green, maroon, cream",
Heart,Wheatish,Triangle,"Tailored blazers with shoulder padding, V-neck shirts, tapered pants, quilted jackets, lace-up boots","Bold ties, statement watches, leather wallets","Dark brown, mustard, teal",
Heart,Wheatish,Inverted Triangle,"Fitted polos, skinny jeans, bomber jackets, turtlenecks, high-top sneakers","Minimalist watches, baseball caps, leather backpacks","Black, grey, burgundy",
Heart,Wheatish,Trapezoid,"Slim-fit dress shirts, straight-leg chinos, light knitwear, sports jackets, Chelsea boots","Pocket squares, cufflinks, slim wallets","Navy blue, forest green, charcoal",
Heart,Medium Brown,Rectangle,"Henley shirts, slim-fit chinos, denim jackets, crew neck sweaters, desert boots","Leather belts, aviator sunglasses, minimalist watches","Light blue, beige, navy",
Heart,Medium Brown,Oval,"Casual button-downs, slim-fit jeans, lightweight blazers, knit pullovers, loafers","Leather bracelets, wayfarer sunglasses, dress watches","Olive green, maroon, cream",
Heart,Medium Brown,Triangle,"Tailored blazers with shoulder padding, V-neck shirts, tapered pants, quilted jackets, lace-up boots","Bold ties, statement watches, leather wallets","Dark brown, mustard, teal",
Heart,Medium Brown,Inverted Triangle,"Fitted polos, skinny jeans, bomber jackets, turtlenecks, high-top sneakers","Minimalist watches, baseball caps, leather backpacks","Black, grey, burgundy",
Heart,Medium Brown,Trapezoid,"Slim-fit dress shirts, straight-leg chinos, light knitwear, sports jackets, Chelsea boots","Pocket squares, cufflinks, slim wallets","Navy blue, forest green, charcoal",
Heart,Brown,Rectangle,"Henley shirts, slim-fit chinos, denim jackets, crew neck sweaters, desert boots","Leather belts, aviator sunglasses, minimalist watches","Light blue, beige, navy",
Heart,Brown,Oval,"Casual button-downs, slim-fit jeans, lightweight blazers, knit pullovers, loafers","Leather bracelets, wayfarer sunglasses, dress watches","Olive green, maroon, cream",
Heart,Brown,Triangle,"Tailored blazers with shoulder padding, V-neck shirts, tapered pants, quilted jackets, lace-up boots","Bold ties, statement watches, leather wallets","Dark brown, mustard, teal",
